Product_Name,Product_Price
"Samsung Galaxy S26, Unlocked Android Smartphone, 256GB, Cobalt Violet | Powerful Processor, Galaxy AI, Immersive Viewing, Durable Battery, 2026, US 1 Year Warranty","PKR 215,342.60"
"Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)",NA
"Samsung Galaxy A17 5G Smart Phone 128GB US 1 Yr Manufacturer Warranty Black | Large AMOLED, High-Res Camera, Durable Design, Super Fast Charging, Expandable Storage, Circle to Search, 2025","PKR 55,570.22"
"Samsung Galaxy A17 5G Smart Phone 128GB, US 1 Yr Manufacturer Warranty Blue | Large AMOLED, High-Res Camera, Durable Design, Super Fast Charging, Expandable Storage, Circle to Search, 2025","PKR 55,570.22"
Motorola Moto G Play LTE | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue,"PKR 27,783.72"
"Samsung Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked, 6.7"", Dual SIM, 50MP Triple Camera (Case Bundle), Black","PKR 41,399.11"
Moto G - 2025 | Unlocked | Made for US 4/128GB | 50MP Camera | Forest Gray,NA
"Google Pixel 10 Pro - Unlocked Smartphone with Gemini - Obsidian - 128 GB | Android phone, triple rear pro camera system, fast-charging 24+ hour battery, bright 6.3"" Super Actua Display","PKR 254,246.48"
Motorola Moto G Power - 2025 | Unlocked | Made for US 8/128GB | 50MP Camera | Slate Gray,"PKR 55,570.22"
"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed)",NA
"Samsung Galaxy A37 5G (2026), Unlocked Android Smartphone, 128GB, AMOLED Display, Triple Camera, IP68, Slim Phone, 5000mAh Battery, US Version, US 1 Yr Warranty, Awesome Charcoal","PKR 125,036.47"
"SAMSUNG Galaxy A56 5G 2025 with AI | 256GB, 8GB, Dual SIM | 6.7"" 120Hz AMOLED, Water Resistant, Android 15 | International Model Factory Unlocked for T-Mobile, Global | 25W Charger Bundle (Graphite)","PKR 108,236.75"
Motorola Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/128GB | 50MP Camera | Caramel Latte,"PKR 47,234.27"
"Google Pixel 10 - Unlocked Smartphone with Gemini - Obsidian - 128 GB | Android phone, advanced triple rear camera, 20x zoom, fast-charging 24+ hour battery, 6.3"" Actua Display","PKR 221,177.76"
"SAMSUNG Galaxy A16 4G Dual SIM (128GB, 2025) 6.7"" 90Hz AMOLED, Splash Resistant, 8Core, 50MP Camera (Factory Unlocked International Model for GSM, Global) A165M/DS (25W Fast Charger Bundle, Black)","PKR 39,731.92"
"Samsung Galaxy Zflip7 FE Cell Phone (2025), 256GB AI Smartphone, JetBlack | Unlocked Android, Large Display, 4900mAh Battery, High Res-Camera, AI Photo Edits, Durable, US 1 Yr Warranty","PKR 172,273.52"
