Product_Name,Product_Price,Product_Sold
"Vivo Y17s - 6.56 Inches HD+ Display - Dual Sim Official PTA Approved - 8GB RAM - 256GB ROM (128GB USABLE + 128GB SYSTEM RESERVED) - Phone Only with Compaitable Charger, Color Mix",23700,
"Vivo Y17s - 6.56 Inches HD+ Display - Dual Sim Official PTA Approved - 8GB RAM - 256GB ROM (128GB USABLE + 128GB SYSTEM RESERVED) - Phone Only, Color Mix",23999,
Rugged phone/unbreakable waterproof Smartphone | 4G n side finger unlock|  | Shockproof | Long Battery Life | Android Mobile Phone,8500,
Vivo Y19s | 6GB+128GB | 90Hz Screen | 5500mAh Long Battery | Android 14 | PTA Approved,23799,7
Kyocera Basio 4 - 5.6 Inches AMOLED Display - 3GB RAM + 32GB ROM - Single Sim PTA Approved - Android 10 (12 Upgradable) - Japanese Phone - Phone with Charger (No box - Color Mix),13499,
"Vivo Y20s | 8GB Ram 128GB Storage | 5000 MAH Battery + 18w Fast Charging | PTA Approve | Side FingerPrint | 6.51"" HD+ Halo Big Display | 13MP AI Triple Camera | Phone, Box, Charger | Mobile Phone On Installment",20500,
Vivo Y66 | 100% Inspected Fresh Stock | 4GB RAM 64GB ROM(3/32 for user) | 13MP Camera | Dual Sim Approved | With Box & Charger | Premium Quality | Vivo Mobile Phone | Globally Customized,8549,28
Vivo Y17 PTA Approved Original Mobile Phone | 8GB RAM 256GB ROM | 5000mAh Battery | Dual SIM | Fingerprint | Android Smartphone | Global Variant | Like New | Box Charger Handsfree Included | Installment Available | Best Budget Phone in Pakistan,16829,15
Nothing Phone CMF Phone 2 Pro 8/128GB - PTA Approved - Nothing Phone,104999,
"Vivo Y66 | Dual Sim | PTA Approve | 4GB Ram 64GB Storage | Long Lasting 3000 MAH Battery | Memory Card Suppirt | Vivo Box , Charger Sim Injector Tool & Phone | Vivo Mobile | Mobile Phone On Easy Installment | Whatsapp , Youtube Facebook & Tiktok Working",9480,44
Nothing Phone 3A 12/256GB - PTA Approved- Free CMF Buds 2 Nothing Phone,157999,
Samsung Galaxy Z Fold 3 12GB RAM 256 GB ROM || FOLDABLE MOBILE PHONE || ONE YEAR BRAND WARRANTY,300000,
Nothing Phone 3A Lite 8GB/256GB - PTA Approved - Nothing Phone,117899,
Motorola Mobile Phone Moto G Play 2024 - Tot 8GB RAM(4+4) - No Sims(WiFi Device) - Free Accessories - Android 14 - Snapdragon 680 - PubG Around 60 Fps - 50MP Camera - 5000mAh Battery - 90Hz Display - Motorola Mobile Phones Low,17849,
Vivo Y19s - 6.74 Inches IPS LCD Display - 8+1GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - (Phone and Universal Box. No Charger and No Accessories Included - Mix Color),29999,
"Vivo Y71 - 4GB RAM Big  ROM | 6.0"" HD+ Display | 3360mAh Battery | 13MP Camera | PTA Approved | Like New",9775,
Google Pixel 8 Pro | 12GB RAM | 256GB & 128GB storage | dual sim approved | 5050 mAh battery | OLED display | 2023 model new phone without box | Al-Aswad Tech,119999,24
Vivo Y85 4gb RAM 64gb Memory  Charger and packing box,13999,640
Google Pixel 6a | 6GB ram | 128GB storage | dual sim approved | 4410mAh battery | original phone without box,52999,48
Tecno Spark Go 3 - 4Gb Ram / 64Gb Storage - Official PTA Approved with 1 Year Official Brand Warranty.,34999,
"Vivo Y20s | 8GB Ram 128GB Storage | 5000 MAH Battery + 18w Fast Charging | PTA Approve | Side FingerPrint | 6.51"" HD+ Halo Big Display | 13MP AI Triple Camera | Phone, Box, Charger | Mobile Phone On Installment",20350,16
